TAMAÑO_CADENA, TIEMPO_SEG, M_(N/1000)
10000,0.006049,10
20000,0.01691,20
30000,0.024465,30
40000,0.028764,40
50000,0.038983,50
60000,0.056544,60
70000,0.077832,70
80000,0.101804,80
90000,0.129793,90
100000,0.158929,100
110000,0.192633,110
120000,0.231493,120
130000,0.267148,130
140000,0.309141,140
150000,0.355706,150
160000,0.399394,160
170000,0.450419,170
180000,0.506866,180
190000,0.573169,190
200000,0.636715,200
210000,0.708323,210
220000,0.770001,220
230000,0.841004,230
240000,0.916365,240
250000,0.996576,250
260000,1.07018,260
270000,1.14766,270
280000,1.22229,280
290000,1.31281,290
300000,1.40469,300
310000,1.49888,310
320000,1.59678,320
330000,1.69822,330
340000,1.83592,340
350000,1.94601,350
360000,2.05932,360
370000,2.17474,370
380000,2.29385,380
390000,2.41613,390
400000,2.54184,400
410000,2.67031,410
420000,2.80227,420
430000,2.93719,430
440000,3.10584,440
450000,3.22618,450
460000,3.31229,460
470000,3.49617,470
480000,3.66354,480
490000,3.81439,490
500000,3.97175,500
510000,4.28725,510
520000,4.30025,520
530000,4.41435,530
540000,4.63181,540
550000,4.80822,550
560000,4.98523,560
570000,5.16414,570
580000,5.29935,580
590000,5.44018,590
600000,5.61927,600
610000,5.82004,610
620000,6.13809,620
630000,6.27393,630
640000,6.41306,640
650000,6.69036,650
660000,6.93208,660
670000,7.13783,670
680000,7.33989,680
690000,7.56199,690
700000,7.7858,700
710000,8.02127,710
720000,8.23723,720
730000,8.46871,730
740000,8.70093,740
750000,8.94048,750
760000,9.18162,760
770000,9.41999,770
780000,9.77637,780
790000,9.96471,790
800000,10.1714,800
810000,10.3129,810
820000,10.6486,820
830000,10.9295,830
840000,11.0763,840
850000,11.3538,850
860000,11.6098,860
870000,11.9337,870
880000,12.1032,880
890000,12.4356,890
900000,12.8729,900
910000,13.1641,910
920000,13.4257,920
930000,13.5178,930
940000,14.0605,940
950000,14.3129,950
960000,14.6691,960
970000,14.9888,970
980000,15.1885,980
990000,15.4819,990
1000000,15.7922,1000
