TAMAÑO_CADENA, TIEMPO_SEG, M_(N/1000)
10000,0.000809,10
20000,0.001797,20
30000,0.003885,30
40000,0.005277,40
50000,0.00689,50
60000,0.008294,60
70000,0.009493,70
80000,0.010348,80
90000,0.0114,90
100000,0.012646,100
110000,0.014292,110
120000,0.016495,120
130000,0.01906,130
140000,0.021846,140
150000,0.024824,150
160000,0.027941,160
170000,0.031294,170
180000,0.034859,180
190000,0.038555,190
200000,0.042771,200
210000,0.047061,210
220000,0.05141,220
230000,0.056066,230
240000,0.060768,240
250000,0.066088,250
260000,0.070851,260
270000,0.076523,270
280000,0.080439,280
290000,0.086223,290
300000,0.091806,300
310000,0.097668,310
320000,0.104553,320
330000,0.112331,330
340000,0.118852,340
350000,0.125365,350
360000,0.131315,360
370000,0.141111,370
380000,0.147167,380
390000,0.154596,390
400000,0.162441,400
410000,0.170631,410
420000,0.178769,420
430000,0.187332,430
440000,0.195643,440
450000,0.205508,450
460000,0.213616,460
470000,0.223579,470
480000,0.229924,480
490000,0.241743,490
500000,0.250664,500
510000,0.26072,510
520000,0.270943,520
530000,0.281234,530
540000,0.291682,540
550000,0.304113,550
560000,0.314028,560
570000,0.324307,570
580000,0.335372,580
590000,0.347165,590
600000,0.35845,600
610000,0.370095,610
620000,0.382053,620
630000,0.39424,630
640000,0.406646,640
650000,0.419161,650
660000,0.432043,660
670000,0.443225,670
680000,0.456697,680
690000,0.469019,690
700000,0.491274,700
710000,0.500147,710
720000,0.512158,720
730000,0.525716,730
740000,0.543067,740
750000,0.5573,750
760000,0.569814,760
770000,0.584818,770
780000,0.59965,780
790000,0.615764,790
800000,0.628582,800
810000,0.646251,810
820000,0.663756,820
830000,0.680413,830
840000,0.693367,840
850000,0.70915,850
860000,0.725793,860
870000,0.744227,870
880000,0.760458,880
890000,0.779401,890
900000,0.797592,900
910000,0.812793,910
920000,0.830701,920
930000,0.851161,930
940000,0.867204,940
950000,0.888209,950
960000,0.903835,960
970000,0.929791,970
980000,0.941109,980
990000,0.961882,990
1000000,0.979109,1000
