TAMAÑO_CADENA, TIEMPO_SEG, M_(N/1000)
10000,0.005964,10
20000,0.011788,10
30000,0.018982,10
40000,0.015568,10
50000,0.01741,10
60000,0.01458,10
70000,0.012935,10
80000,0.014199,10
90000,0.021252,10
100000,0.021999,10
110000,0.022837,10
120000,0.023705,10
130000,0.02409,10
140000,0.025334,10
150000,0.026024,10
160000,0.028533,10
170000,0.034512,10
180000,0.042869,10
190000,0.043007,10
200000,0.04352,10
210000,0.045197,10
220000,0.045591,10
230000,0.04559,10
240000,0.047779,10
250000,0.048713,10
260000,0.048165,10
270000,0.049288,10
280000,0.050353,10
290000,0.050881,10
300000,0.052437,10
310000,0.055442,10
320000,0.057098,10
330000,0.060244,10
340000,0.068641,10
350000,0.078189,10
360000,0.085522,10
370000,0.087613,10
380000,0.085676,10
390000,0.085611,10
400000,0.086552,10
410000,0.087961,10
420000,0.090144,10
430000,0.090487,10
440000,0.090517,10
450000,0.091619,10
460000,0.091931,10
470000,0.092404,10
480000,0.094127,10
490000,0.095356,10
500000,0.095597,10
510000,0.095599,10
520000,0.096996,10
530000,0.096514,10
540000,0.098025,10
550000,0.099628,10
560000,0.10093,10
570000,0.100676,10
580000,0.100708,10
590000,0.101216,10
600000,0.104018,10
610000,0.115767,10
620000,0.117634,10
630000,0.122402,10
640000,0.116452,10
650000,0.114982,10
660000,0.12003,10
670000,0.12821,10
680000,0.136467,10
690000,0.144696,10
700000,0.153242,10
710000,0.161653,10
720000,0.170313,10
730000,0.170641,10
740000,0.170759,10
750000,0.170722,10
760000,0.171602,10
770000,0.173153,10
780000,0.17072,10
790000,0.172351,10
800000,0.172952,10
810000,0.174332,10
820000,0.175974,10
830000,0.177938,10
840000,0.18226,10
850000,0.183212,10
860000,0.181323,10
870000,0.182615,10
880000,0.181003,10
890000,0.180982,10
900000,0.181025,10
910000,0.18098,10
920000,0.181457,10
930000,0.182948,10
940000,0.184401,10
950000,0.18598,10
960000,0.187434,10
970000,0.189104,10
980000,0.190588,10
990000,0.191162,10
1000000,0.190994,10
