TAMAÑO_CADENA, TIEMPO_SEG, M_(N/1000)
10000,0.010149,1000
20000,0.026167,1000
30000,0.040883,1000
40000,0.039782,1000
50000,0.047112,1000
60000,0.056721,1000
70000,0.066339,1000
80000,0.075957,1000
90000,0.085679,1000
100000,0.096503,1000
110000,0.106844,1000
120000,0.116679,1000
130000,0.126362,1000
140000,0.135242,1000
150000,0.146376,1000
160000,0.160697,1000
170000,0.165357,1000
180000,0.172912,1000
190000,0.183021,1000
200000,0.193659,1000
210000,0.202189,1000
220000,0.210625,1000
230000,0.220139,1000
240000,0.229778,1000
250000,0.239473,1000
260000,0.248992,1000
270000,0.258592,1000
280000,0.268291,1000
290000,0.277843,1000
300000,0.287639,1000
310000,0.306652,1000
320000,0.309271,1000
330000,0.319332,1000
340000,0.325894,1000
350000,0.335486,1000
360000,0.349484,1000
370000,0.362458,1000
380000,0.364871,1000
390000,0.378275,1000
400000,0.388409,1000
410000,0.393741,1000
420000,0.402752,1000
430000,0.413173,1000
440000,0.422027,1000
450000,0.431579,1000
460000,0.441298,1000
470000,0.450814,1000
480000,0.46041,1000
490000,0.470024,1000
500000,0.479638,1000
510000,0.489235,1000
520000,0.498869,1000
530000,0.508444,1000
540000,0.518067,1000
550000,0.527671,1000
560000,0.537292,1000
570000,0.546896,1000
580000,0.556529,1000
590000,0.566136,1000
600000,0.575735,1000
610000,0.585346,1000
620000,0.594949,1000
630000,0.604559,1000
640000,0.614184,1000
650000,0.623799,1000
660000,0.633396,1000
670000,0.650969,1000
680000,0.662628,1000
690000,0.676004,1000
700000,0.679097,1000
710000,0.694451,1000
720000,0.691324,1000
730000,0.704739,1000
740000,0.723627,1000
750000,0.733641,1000
760000,0.743464,1000
770000,0.753229,1000
780000,0.763046,1000
790000,0.77291,1000
800000,0.78332,1000
810000,0.79242,1000
820000,0.802221,1000
830000,0.796778,1000
840000,0.806406,1000
850000,0.816022,1000
860000,0.825629,1000
870000,0.835225,1000
880000,0.844856,1000
890000,0.854498,1000
900000,0.871257,1000
910000,0.88671,1000
920000,0.887992,1000
930000,0.907781,1000
940000,0.919924,1000
950000,0.929552,1000
960000,0.939517,1000
970000,0.950297,1000
980000,0.959102,1000
990000,0.968725,1000
1000000,0.960242,1000
