TAMAÑO_CADENA, TIEMPO_SEG, M_(N/1000)
10000,0.009008,10
20000,0.020934,20
30000,0.028289,30
40000,0.031273,40
50000,0.039427,50
60000,0.056851,60
70000,0.077351,70
80000,0.105474,80
90000,0.130615,90
100000,0.157952,100
110000,0.191616,110
120000,0.228245,120
130000,0.268406,130
140000,0.309143,140
150000,0.355267,150
160000,0.403734,160
170000,0.455525,170
180000,0.510954,180
190000,0.569696,190
200000,0.631222,200
210000,0.700666,210
220000,0.776997,220
230000,0.836924,230
240000,0.912075,240
250000,0.996781,250
260000,1.0668,260
270000,1.15052,270
280000,1.24496,280
290000,1.33624,290
300000,1.44153,300
310000,1.52793,310
320000,1.61974,320
330000,1.73209,330
340000,1.83736,340
350000,1.95101,350
360000,2.07653,360
370000,2.18598,370
380000,2.29028,380
390000,2.4319,390
400000,2.56997,400
410000,2.7043,410
420000,2.82569,420
430000,2.95689,430
440000,3.09989,440
450000,3.23977,450
460000,3.38578,460
470000,3.51922,470
480000,3.69369,480
490000,3.82838,490
500000,3.98685,500
510000,4.12481,510
520000,4.48608,520
530000,4.65144,530
540000,4.83313,540
550000,4.85624,550
560000,5.03495,560
570000,5.31466,570
580000,5.38346,580
590000,5.56782,590
600000,5.80675,600
610000,6.01638,610
620000,6.14012,620
630000,6.31868,630
640000,6.76055,640
650000,6.73834,650
660000,7.03942,660
670000,7.25048,670
680000,7.54454,680
690000,7.63723,690
700000,7.91233,700
710000,8.08499,710
720000,8.31053,720
730000,8.51646,730
740000,8.76753,740
750000,9.04461,750
760000,9.23619,760
770000,9.49979,770
780000,9.7556,780
790000,9.94828,790
800000,10.2386,800
810000,10.5176,810
820000,10.9457,820
830000,11.1578,830
840000,11.3374,840
850000,11.5965,850
860000,11.8614,860
870000,12.0717,870
880000,12.3858,880
890000,12.686,890
900000,13.0095,900
910000,13.2524,910
920000,13.4955,920
930000,13.9364,930
940000,14.2004,940
950000,14.5173,950
960000,14.7554,960
970000,15.1293,970
980000,15.4406,980
990000,15.7627,990
1000000,16.1673,1000
