TAMAÑO_CADENA, TIEMPO_SEG, M_(N/1000)
10000,0.000286,10
20000,0.000747,20
30000,0.001604,30
40000,0.00253,40
50000,0.003635,50
60000,0.004888,60
70000,0.006337,70
80000,0.008026,80
90000,0.009914,90
100000,0.01185,100
110000,0.014069,110
120000,0.016587,120
130000,0.019213,130
140000,0.021961,140
150000,0.024867,150
160000,0.027967,160
170000,0.031313,170
180000,0.036512,180
190000,0.041039,190
200000,0.042506,200
210000,0.046468,210
220000,0.052938,220
230000,0.055635,230
240000,0.061466,240
250000,0.066373,250
260000,0.06973,260
270000,0.074877,270
280000,0.080266,280
290000,0.085845,290
300000,0.091745,300
310000,0.097725,310
320000,0.105466,320
330000,0.110143,330
340000,0.116618,340
350000,0.12364,350
360000,0.13114,360
370000,0.137861,370
380000,0.144949,380
390000,0.152142,390
400000,0.159805,400
410000,0.168276,410
420000,0.176092,420
430000,0.183909,430
440000,0.192021,440
450000,0.200656,450
460000,0.209844,460
470000,0.218887,470
480000,0.227632,480
490000,0.23796,490
500000,0.248347,500
510000,0.256646,510
520000,0.269221,520
530000,0.28432,530
540000,0.287615,540
550000,0.29726,550
560000,0.308207,560
570000,0.32025,570
580000,0.329804,580
590000,0.341196,590
600000,0.352011,600
610000,0.363623,610
620000,0.377566,620
630000,0.393049,630
640000,0.401438,640
650000,0.411434,650
660000,0.428547,660
670000,0.444912,670
680000,0.458041,680
690000,0.464018,690
700000,0.475958,700
710000,0.494071,710
720000,0.512139,720
730000,0.525234,730
740000,0.531139,740
750000,0.546724,750
760000,0.560391,760
770000,0.574889,770
780000,0.590029,780
790000,0.629009,790
800000,0.627312,800
810000,0.643217,810
820000,0.655248,820
830000,0.670246,830
840000,0.687164,840
850000,0.704641,850
860000,0.722342,860
870000,0.732761,870
880000,0.749131,880
890000,0.770353,890
900000,0.791123,900
910000,0.811645,910
920000,0.821682,920
930000,0.84595,930
940000,0.865763,940
950000,0.877498,950
960000,0.887069,960
970000,0.921546,970
980000,0.941546,980
990000,0.948372,990
1000000,0.966632,1000
