TAMAÑO_CADENA, TIEMPO_SEG, M_(N/1000)
10000,0.001052,5
20000,0.003571,10
30000,0.00773,15
40000,0.013444,20
50000,0.020723,25
60000,0.029163,30
70000,0.039369,35
80000,0.05088,40
90000,0.063954,45
100000,0.079032,50
110000,0.095697,55
120000,0.114032,60
130000,0.133833,65
140000,0.154961,70
150000,0.178406,75
160000,0.202041,80
170000,0.22793,85
180000,0.25689,90
190000,0.290841,95
200000,0.317933,100
210000,0.362074,105
220000,0.387391,110
230000,0.424225,115
240000,0.462997,120
250000,0.50264,125
260000,0.53723,130
270000,0.582189,135
280000,0.619579,140
290000,0.664409,145
300000,0.713727,150
310000,0.759061,155
320000,0.822785,160
330000,0.869151,165
340000,0.9167,170
350000,0.967353,175
360000,1.03917,180
370000,1.09543,185
380000,1.14766,190
390000,1.22397,195
400000,1.27973,200
410000,1.34811,205
420000,1.39844,210
430000,1.46338,215
440000,1.53939,220
450000,1.63801,225
460000,1.68842,230
470000,1.7786,235
480000,1.84854,240
490000,1.91188,245
500000,2.00481,250
510000,2.07424,255
520000,2.14861,260
530000,2.22979,265
540000,2.33908,270
550000,2.43398,275
560000,2.50835,280
570000,2.56659,285
580000,2.68878,290
590000,2.79829,295
600000,2.89169,300
610000,2.99551,305
620000,3.1495,310
630000,3.19608,315
640000,3.27815,320
650000,3.39111,325
660000,3.50472,330
670000,3.60469,335
680000,3.72757,340
690000,3.84598,345
700000,3.92733,350
710000,4.04389,355
720000,4.15653,360
730000,4.24033,365
740000,4.39417,370
750000,4.52533,375
760000,4.60263,380
770000,4.76781,385
780000,4.88632,390
790000,4.99953,395
800000,5.14219,400
810000,5.25592,405
820000,5.39792,410
830000,5.51299,415
840000,5.64184,420
850000,5.81642,425
860000,5.95085,430
870000,6.07056,435
880000,6.22468,440
890000,6.37502,445
900000,6.52205,450
910000,6.64996,455
920000,6.8129,460
930000,6.90239,465
940000,7.08247,470
950000,7.24258,475
960000,7.4447,480
970000,7.55569,485
980000,7.71527,490
990000,7.88323,495
1000000,8.05726,500
