TAMAÑO_CADENA, TIEMPO_SEG, M_(N/1000)
10000,0.00041,20
20000,0.001321,40
30000,0.00259,60
40000,0.004258,80
50000,0.006225,100
60000,0.00842,120
70000,0.010905,140
80000,0.013991,160
90000,0.017366,180
100000,0.021227,200
110000,0.02534,220
120000,0.030131,240
130000,0.035356,260
140000,0.040693,280
150000,0.046505,300
160000,0.052715,320
170000,0.059157,340
180000,0.0661,360
190000,0.073686,380
200000,0.081234,400
210000,0.089143,420
220000,0.097637,440
230000,0.108024,460
240000,0.114927,480
250000,0.123162,500
260000,0.133305,520
270000,0.142933,540
280000,0.154432,560
290000,0.164402,580
300000,0.17986,600
310000,0.190835,620
320000,0.203185,640
330000,0.216097,660
340000,0.228829,680
350000,0.250982,700
360000,0.255902,720
370000,0.268586,740
380000,0.282044,760
390000,0.296269,780
400000,0.311934,800
410000,0.3305,820
420000,0.345587,840
430000,0.356373,860
440000,0.373137,880
450000,0.393646,900
460000,0.414895,920
470000,0.431066,940
480000,0.443281,960
490000,0.466209,980
500000,0.489225,1000
510000,0.508588,1020
520000,0.528277,1040
530000,0.548554,1060
540000,0.569233,1080
550000,0.585434,1100
560000,0.615343,1120
570000,0.636487,1140
580000,0.646363,1160
590000,0.694555,1180
600000,0.692944,1200
610000,0.711537,1220
620000,0.74438,1240
630000,0.772938,1260
640000,0.786425,1280
650000,0.835106,1300
660000,0.847256,1320
670000,0.866872,1340
680000,0.898144,1360
690000,0.916727,1380
700000,0.956171,1400
710000,0.980535,1420
720000,0.993437,1440
730000,1.03265,1460
740000,1.06158,1480
750000,1.08017,1500
760000,1.11451,1520
770000,1.13832,1540
780000,1.25336,1560
790000,1.19003,1580
800000,1.22447,1600
810000,1.2555,1620
820000,1.28548,1640
830000,1.32606,1660
840000,1.39231,1680
850000,1.38944,1700
860000,1.42959,1720
870000,1.46553,1740
880000,1.50639,1760
890000,1.53447,1780
900000,1.57283,1800
910000,1.6001,1820
920000,1.65088,1840
930000,1.64718,1860
940000,1.70165,1880
950000,1.74698,1900
960000,1.7814,1920
970000,1.82822,1940
980000,1.8533,1960
990000,1.89851,1980
1000000,1.93501,2000
